at,score,content,content_bersih,label_sentimen,content_final
2026-04-05 11:37:31,1,"saya sudah buka rek syariah berhasil, tapi pas isi saldo dari rek lain buat isi kesini kok no rek. nya ga ditemukan?? anehhhhhh udh nyoba apps bank lain juga ga ditemukan no rek. nya kocak bgt dpt no rek. tp ga bs digunain..",saya sudah buka rek syariah berhasil tapi pas isi saldo dari rek lain buat isi kesini kok no rek nya ga ditemukan anehhhhhh udh nyoba apps bank lain juga ga ditemukan no rek nya kocak bgt dpt no rek tp ga bs digunain,Negatif,buka rek syariah hasil pas isi saldo rek isi kesini no rek ga temu anehhhhhh udh nyoba apps ga temu no rek kocak bgt dpt no rek tp ga bs digunain
2026-04-05 10:00:21,2,"setiap mau kirim ke Ewalet selalu gagal, tetapi saldo rekening sudah terpotong",setiap mau kirim ke ewalet selalu gagal tetapi saldo rekening sudah terpotong,Negatif,kirim ewalet gagal saldo rekening potong
2026-04-05 08:37:08,1,bukannya permudah malah di persulit,bukannya permudah malah di persulit,Negatif,mudah sulit
2026-04-05 02:12:10,2,"jakone mobile semakin kaga jelas kok ya. merugikan pengunanya. sudah 3x galal topUp ke dana dan gopay. tapi uagnya berkurang. klo merugikan orang lain, mending di hapus aja sekalian.",jakone mobile semakin kaga jelas kok ya merugikan pengunanya sudah x galal topup ke dana dan gopay tapi uagnya berkurang klo merugikan orang lain mending di hapus aja sekalian,Negatif,kaga ya rugi pengunanya x galal topup dana gopay uagnya kurang klo rugi orang mending hapus aja
2026-04-04 07:28:24,1,"lagi-lagi begini,saldo sudah terpotong tpi transferan ga masuk2,saldo ngegantung,nunggu balik lg saldonya lama banget,kalau gagal proses ya gagal aj,jangan saldo ikut dipotong,itu uang jg kami butuh,merugikan banget",lagi lagi begini saldo sudah terpotong tpi transferan ga masuk saldo ngegantung nunggu balik lg saldonya lama banget kalau gagal proses ya gagal aj jangan saldo ikut dipotong itu uang jg kami butuh merugikan banget,Negatif,saldo potong tpi transfer ga masuk saldo ngegantung nunggu lg saldo banget gagal proses ya gagal aj saldo potong uang jg butuh rugi banget
2026-04-04 04:57:05,1,ini knp aplikasi bank DKI tidak ada fitur transfer ke bank lain ga jls bgt,ini knp aplikasi bank dki tidak ada fitur transfer ke bank lain ga jls bgt,Negatif,knp fitur transfer ga jls bgt
2026-04-04 04:27:10,2,"Kenapa di aplikasi saya ini, tidak ada menu transfer antar bank lain atau Bi fast ?",kenapa di aplikasi saya ini tidak ada menu transfer antar bank lain atau bi fast,Negatif,menu transfer bi fast
2026-04-02 22:54:12,5,mbanking KJP anak bisa digabung dgn Jackone ortu ga ya ? btw untuk nomor KJP dan Mbanking ibu sma,mbanking kjp anak bisa digabung dgn jackone ortu ga ya btw untuk nomor kjp dan mbanking ibu sma,Positif,mbanking kjp anak gabung dgn jackone ortu ga ya btw nomor kjp mbanking sma
2026-04-02 13:41:00,1,"Bank pembangunan daerah pertama di Indonesia namun pelayanan aplikasi yang lemah! busuk! lambat! sinyal lemah! walaupun sudah pakai WiFi kenceng, mau mengkaitkan ulang nomor telepon sangat lama padahal sudah memasukkan nomor otp yang benar dan sering bermasalah terutama di hari-hari besar",bank pembangunan daerah pertama di indonesia namun pelayanan aplikasi yang lemah busuk lambat sinyal lemah walaupun sudah pakai wifi kenceng mau mengkaitkan ulang nomor telepon sangat lama padahal sudah memasukkan nomor otp yang benar dan sering bermasalah terutama di hari hari besar,Negatif,bangun daerah indonesia layan lemah busuk lambat sinyal lemah pakai wifi kenceng kait ulang nomor telepon masuk nomor otp masalah
2026-04-02 00:31:49,1,"kenapa gabisa login padahal nomor ponsel dah bener,gajelas nih apk ppk",kenapa gabisa login padahal nomor ponsel dah bener gajelas nih apk ppk,Negatif,gabisa login nomor ponsel dah bener gajelas nih apk ppk
2026-04-01 16:35:15,1,mau kirim otp aja lamanya ampun dah. padahal udah bener nomor nya,mau kirim otp aja lamanya ampun dah padahal udah bener nomor nya,Negatif,kirim otp aja ampun dah udah bener nomor
2026-04-01 16:16:56,1,"percuma ganti nama bank, klo minim perubahan, masa verifikasi wajah dari pagi, sore, gak bisa juga,, biasanya gnti hp verifikasi lancar, kali ini loading doank, berhasil ga, gagal engga, muter doank, diulang berxx sama aja, miris bank DKI yg katanya KOTA GLOBAL tapi begini apk mobile bankingnya, parah",percuma ganti nama bank klo minim perubahan masa verifikasi wajah dari pagi sore gak bisa juga biasanya gnti hp verifikasi lancar kali ini loading doank berhasil ga gagal engga muter doank diulang berxx sama aja miris bank dki yg katanya kota global tapi begini apk mobile bankingnya parah,Negatif,ganti nama klo minim ubah verifikasi wajah pagi sore gak gnti hp verifikasi lancar kali loading doank hasil ga gagal engga muter doank ulang berxx aja miris yg kota global apk bankingnya parah
2026-03-30 12:47:16,1,lupa pasword bikin mati hidup serasa mati.. potongan gilla kaya rampok,lupa pasword bikin mati hidup serasa mati potongan gilla kaya rampok,Negatif,lupa pasword bikin mati hidup serasa mati potong gilla kaya rampok
2026-03-30 09:07:15,5,ok dan sangat membantu,ok dan sangat membantu,Positif,ok bantu
2026-03-30 06:49:08,3,"terilang kembali, sy gk bs buka jakone mobile, nomer sm hanya hp yg ganti krn rusak. ke bank terdeket di jatiwaringin saat itu tdk bs melayani karn sdng gangguan",terilang kembali sy gk bs buka jakone mobile nomer sm hanya hp yg ganti krn rusak ke bank terdeket di jatiwaringin saat itu tdk bs melayani karn sdng gangguan,Negatif,terilang sy gk bs buka nomer sm hp yg ganti krn rusak terdeket jatiwaringin tdk bs layan karn sdng ganggu
2026-03-30 00:02:55,5,ok sip,ok sip,Positif,ok sip
2026-03-29 21:08:16,1,"ini kalo bisa Bintang 0, bintang 0 dah mau buka aplikasi aja lama banget server error terus, kode SMS otp nya ya ampun nunggu se abad nyesel make ATM beginian",ini kalo bisa bintang bintang dah mau buka aplikasi aja lama banget server error terus kode sms otp nya ya ampun nunggu se abad nyesel make atm beginian,Negatif,kalo bintang bintang dah buka aja banget server error kode sms otp ya ampun nunggu abad nyesel make atm
2026-03-29 18:13:46,4,kirim ke ewalet selalu gagal dan ke potong padahal jaringan lancar selalu begitu harus nya segera d perbaiki,kirim ke ewalet selalu gagal dan ke potong padahal jaringan lancar selalu begitu harus nya segera d perbaiki,Positif,kirim ewalet gagal potong jaring lancar d baik
2026-03-29 16:11:10,1,parah nih aplikasi sering banget eror. saya transfer gagal tapi saldo kepotong dan tidak masuk ke tujuan saya coba transfer gagal lagi sudah 2 kali transfer gagal terus saldo kepotong dan tidak masuk ke tujuan paraahhh DKi saya kapok transaksi menggunakan dki,parah nih aplikasi sering banget eror saya transfer gagal tapi saldo kepotong dan tidak masuk ke tujuan saya coba transfer gagal lagi sudah kali transfer gagal terus saldo kepotong dan tidak masuk ke tujuan paraahhh dki saya kapok transaksi menggunakan dki,Negatif,parah nih banget eror transfer gagal saldo potong masuk tuju coba transfer gagal kali transfer gagal saldo potong masuk tuju paraahhh kapok transaksi
2026-03-28 10:43:17,3,"sering eror,, saldo berkurang,, klau krim ke Waket DANA",sering eror saldo berkurang klau krim ke waket dana,Negatif,eror saldo kurang klau krim waket dana
2026-03-27 07:19:45,1,"aplikasi nggak jelas, baru juga login beberapa menit, top up, tapi langsung di blokir. apa-apaan lu mau nyuri uang gua gitu. baru juga login beberapa menit akun gua langsung di blokir",aplikasi nggak jelas baru juga login beberapa menit top up tapi langsung di blokir apa apaan lu mau nyuri uang gua gitu baru juga login beberapa menit akun gua langsung di blokir,Negatif,nggak login menit top up langsung blokir lu nyuri uang gua gitu login menit akun gua langsung blokir
2026-03-25 11:48:18,3,sangatbmembantu,sangatbmembantu,Negatif,sangatbmembantu
2026-03-25 04:39:50,5,"sangat amat membantu,",sangat amat membantu,Positif,bantu
2026-03-23 15:28:35,1,"saya mau kirim uang ke DANA 200ribu, keterangan pas kirim gagal,... terus saya coba kirim ternyata uang yang saya TF keluar sebanyak 4X sebesar 800ribu sementara keterangan gagal tidak ada keterangan berhasil, dan saya cek di DANA yang masuk hanya 2X sebesar 400ribu sisa uang saya kemana itu yang 400ribu... pokoknya gw ga bakal simpen uang di Bank Jakarta atau Aplikasi DANA minim keamanan Auto gw TF semua yang gw ke Bank lain",saya mau kirim uang ke dana ribu keterangan pas kirim gagal terus saya coba kirim ternyata uang yang saya tf keluar sebanyak x sebesar ribu sementara keterangan gagal tidak ada keterangan berhasil dan saya cek di dana yang masuk hanya x sebesar ribu sisa uang saya kemana itu yang ribu pokoknya gw ga bakal simpen uang di bank jakarta atau aplikasi dana minim keamanan auto gw tf semua yang gw ke bank lain,Negatif,kirim uang dana ribu terang pas kirim gagal coba kirim uang tf x ribu terang gagal terang hasil cek dana masuk x ribu sisa uang mana ribu pokok gw ga simpen uang jakarta dana minim aman auto gw tf gw
2026-03-22 16:17:54,1,abis ngisi top up Jack card bank DKI 100 rb. malah gbisa update saldo. haduuh gmana ini bank DKI.,abis ngisi top up jack card bank dki rb malah gbisa update saldo haduuh gmana ini bank dki,Negatif,abis ngisi top up jack card rb gbisa update saldo haduuh gmana
2026-03-22 10:49:15,1,Gak niat bikin aplikasi jangan bikin aplikasi la taman wisata ragunan gak bisa daftar aneh banget gak jelas PT. BANK DKI,gak niat bikin aplikasi jangan bikin aplikasi la taman wisata ragunan gak bisa daftar aneh banget gak jelas pt bank dki,Negatif,gak niat bikin bikin la taman wisata ragunan gak daftar aneh banget gak pt
2026-03-20 22:43:30,1,tutup aja aplikasi skalian banknya daftar rekening baru 3 jam ga kelar2 da ga berhasil waras ga itu nya digaji???,tutup aja aplikasi skalian banknya daftar rekening baru jam ga kelar da ga berhasil waras ga itu nya digaji,Negatif,tutup aja skalian bank daftar rekening jam ga kelar da ga hasil waras ga gaji
2026-03-20 10:06:41,3,sering banget gak bisa buka aplikasi. mohon untuk bisa diperbaiki aplikasinya. terima kasih,sering banget gak bisa buka aplikasi mohon untuk bisa diperbaiki aplikasinya terima kasih,Negatif,banget gak buka mohon baik aplikasi terima kasih
2026-03-19 17:00:16,2,"saya sudah klik login tapi setiap kali muncul notifikasi sesi anda sudah berakhir silahkan login kembali, kmdian masuk lagi ke halaman login dan selalu begitu terus menerus, mhn utk memperbaiki sistemnya",saya sudah klik login tapi setiap kali muncul notifikasi sesi anda sudah berakhir silahkan login kembali kmdian masuk lagi ke halaman login dan selalu begitu terus menerus mhn utk memperbaiki sistemnya,Negatif,klik login kali muncul notifikasi sesi silah login kmdian masuk halaman login terus mhn utk baik sistem
2026-03-19 16:59:58,1,restart sendiri,restart sendiri,Negatif,restart
2026-03-19 16:15:43,2,"Fitur biometrik ga bisa ya, selalu keluar aplikasi kalo coba aktifkan fitur...mungkin bisa diperbaiki bug nya",fitur biometrik ga bisa ya selalu keluar aplikasi kalo coba aktifkan fitur mungkin bisa diperbaiki bug nya,Negatif,fitur biometrik ga ya kalo coba aktif fitur baik bug
2026-03-18 21:06:30,1,atm nya buruk! menu transfer antar Bank sering (hilang),atm nya buruk menu transfer antar bank sering hilang,Negatif,atm buruk menu transfer hilang
2026-03-18 19:21:08,1,uang masuk tidak ads notifikasi.,uang masuk tidak ads notifikasi,Negatif,uang masuk ads notifikasi
2026-03-18 18:02:29,1,"jelek bgt ni mbanking sumpah dah, mau tf masa susah bgt selalu gk dpt jaringan. bkn sekali dua kali bgitu udh lumayan sering. tolong dibenerin lagi sistemnya",jelek bgt ni mbanking sumpah dah mau tf masa susah bgt selalu gk dpt jaringan bkn sekali dua kali bgitu udh lumayan sering tolong dibenerin lagi sistemnya,Negatif,jelek bgt ni mbanking sumpah dah tf susah bgt gk dpt jaring bkn kali bgitu udh lumayan tolong dibenerin sistem
2026-03-18 11:11:13,1,"parah sih...kebiasaan banget setiap transaksi gagal saldo malah ikut terdebit..mending kalau saldo nya nyampe kerekening tujuan,saldo malah ngegantung..nunggu balik lagi ke rekening kitanya lama banget.. aneh banget ini bank sering banget terjadi hal seperti ini,,sangat merugikan nasabah",parah sih kebiasaan banget setiap transaksi gagal saldo malah ikut terdebit mending kalau saldo nya nyampe kerekening tujuan saldo malah ngegantung nunggu balik lagi ke rekening kitanya lama banget aneh banget ini bank sering banget terjadi hal seperti ini sangat merugikan nasabah,Negatif,parah sih biasa banget transaksi gagal saldo debit mending saldo nyampe rekening tuju saldo ngegantung nunggu rekening kita banget aneh banget banget rugi nasabah
2026-03-18 11:05:27,1,"sistem nya udh kayak hp jadul.. masa top up ke e wallet 3x gak masuk², tp saldo kepotong, emang bisa balik lg sih, tp ngeribetin.. kalo gk dr tempat kerja hrs pake dki mah ogah sy",sistem nya udh kayak hp jadul masa top up ke e wallet x gak masuk² tp saldo kepotong emang bisa balik lg sih tp ngeribetin kalo gk dr tempat kerja hrs pake dki mah ogah sy,Negatif,sistem udh kayak hp jadul top up e wallet x gak masuk tp saldo potong emang lg sih tp ngeribetin kalo gk dr kerja hrs pake mah ogah sy
2026-03-17 11:04:31,1,"susah banget sih mau login doank aja. data di bilang salah terus, padahal sudah benar. dan ketika saya klik yang ""Tidak"" memiliki rekening, ttp di suruh isi nomor rekening, ini mksdnya gmn? Aneh",susah banget sih mau login doank aja data di bilang salah terus padahal sudah benar dan ketika saya klik yang tidak memiliki rekening ttp di suruh isi nomor rekening ini mksdnya gmn aneh,Negatif,susah banget sih login doank aja data bilang salah klik milik rekening ttp suruh isi nomor rekening mksdnya gmn aneh
2026-03-16 23:59:08,1,harap di perbaiki mbanking knepa selalu bgtu.. kirim saldo tapi ga masuk. tapi saldonya ke potong.. mulai ga jelas ini,harap di perbaiki mbanking knepa selalu bgtu kirim saldo tapi ga masuk tapi saldonya ke potong mulai ga jelas ini,Negatif,harap baik mbanking knepa bgtu kirim saldo ga masuk saldo potong ga
2026-03-16 21:41:42,1,"Mohon diperbaiki sistemnya. Kenapa tidak bisa login tiba-tiba. Bahkan setelah chat CS, solusinya harus ke kantor cabang.",mohon diperbaiki sistemnya kenapa tidak bisa login tiba tiba bahkan setelah chat cs solusinya harus ke kantor cabang,Negatif,mohon baik sistem login chat cs solusi kantor cabang
2026-03-16 18:59:49,1,tidak berguna lupa pasword dan idnya,tidak berguna lupa pasword dan idnya,Negatif,guna lupa pasword idnya
2026-03-16 14:46:44,1,pelayanan bank jakarta ini payah tidak seperti bank² swasta gercep memprioritaskan customer atau nasabahnya,pelayanan bank jakarta ini payah tidak seperti bank² swasta gercep memprioritaskan customer atau nasabahnya,Negatif,layan jakarta payah bank swasta gercep prioritas customer nasabah
2026-03-16 13:09:56,5,sangat bermanfaat,sangat bermanfaat,Positif,manfaat
2026-03-14 18:06:13,1,"ini bank jakarta gimana sihhh ga guna banget, gua udh berkali-kali top up dana gagal trs, dan saldo kepotong, tapi ga masuk ke dana, dan ujung-ujungnya dalam beberapa hari kembali saldo ke rekening, ini bank bener-bener ga guna👎, capek gua pake Bank ini, klo bulan karna kerjaan ogahh gua pake bank jakarta👎",ini bank jakarta gimana sihhh ga guna banget gua udh berkali kali top up dana gagal trs dan saldo kepotong tapi ga masuk ke dana dan ujung ujungnya dalam beberapa hari kembali saldo ke rekening ini bank bener bener ga guna capek gua pake bank ini klo bulan karna kerjaan ogahh gua pake bank jakarta,Negatif,jakarta gimana sihhh ga banget gua udh kali kali top up dana gagal trs saldo potong ga masuk dana ujung ujung saldo rekening bener bener ga capek gua pake klo karna kerja ogahh gua pake jakarta
2026-03-14 07:14:51,2,"ia salam gangguan jaringan lagi ia min..transaksi gagal terus tapi saldo sudah terpotong...jaringan muter"" tidak jelas berhasil apa tidak nya..tolong perbaiki dong jaringan servernya",ia salam gangguan jaringan lagi ia min transaksi gagal terus tapi saldo sudah terpotong jaringan muter tidak jelas berhasil apa tidak nya tolong perbaiki dong jaringan servernya,Negatif,salam ganggu jaring min transaksi gagal saldo potong jaring muter hasil tolong baik jaring servernya
2026-03-13 22:03:08,5,siiipppppp,siiipppppp,Positif,siiipppppp
2026-03-13 18:10:14,1,kebanyakan d korupsi neh aplikasinya...aplikasi tidak beres,kebanyakan d korupsi neh aplikasinya aplikasi tidak beres,Negatif,banyak d korupsi neh aplikasi beres
2026-03-13 11:19:01,2,"aplikasi tidak berjalan di perangkat saya, stuck , tidak muncul halaman login. dari kemarin begitu aja. gimana mau masuk nya?",aplikasi tidak berjalan di perangkat saya stuck tidak muncul halaman login dari kemarin begitu aja gimana mau masuk nya,Negatif,jalan perangkat stuck muncul halaman login kemarin aja gimana masuk
2026-03-13 08:42:33,1,"Aplikasi primitif. Balik lagi aja ke zaman batu. Mau aktivasi lemot. Giliran lancar semua data udah bener eh pas langkah terakhir masukin kode OTP ga bisa. Padahal kodenya sama seperti yg diterima SMS. Gimana nasabah mau nyimpen uang disini. Yg ada, uang turun langsung dikuras aja. Setor ke Bank lain yg lebih ngasih kemudahan akses buat nasabah. Soalnya masalah uang itu agak sensitif. Semua orang butuh, jadi kalau ga bisa diakses kapanpun mending cari bank yg ngasih kemudahan akses.",aplikasi primitif balik lagi aja ke zaman batu mau aktivasi lemot giliran lancar semua data udah bener eh pas langkah terakhir masukin kode otp ga bisa padahal kodenya sama seperti yg diterima sms gimana nasabah mau nyimpen uang disini yg ada uang turun langsung dikuras aja setor ke bank lain yg lebih ngasih kemudahan akses buat nasabah soalnya masalah uang itu agak sensitif semua orang butuh jadi kalau ga bisa diakses kapanpun mending cari bank yg ngasih kemudahan akses,Negatif,primitif aja zaman batu aktivasi lot gilir lancar data udah bener eh pas langkah masukin kode otp ga kode yg terima sms gimana nasabah nyimpen uang yg uang turun langsung kuras aja setor yg ngasih mudah akses nasabah uang sensitif orang butuh ga akses mending cari yg ngasih mudah akses
2026-03-12 19:21:05,1,"Aplikasi bank yang tiap gajian sama thr langsung down, terus masih mau listing???",aplikasi bank yang tiap gajian sama thr langsung down terus masih mau listing,Negatif,gaji thr langsung down listing
2026-03-12 18:27:01,5,bank dki oke,bank dki oke,Positif,oke
2026-03-12 12:43:09,2,"Udah kepotong saldo, tapi belum masuk sampai sekarang. Tolong di bantu ini",udah kepotong saldo tapi belum masuk sampai sekarang tolong di bantu ini,Negatif,udah potong saldo masuk tolong bantu
2026-03-12 08:04:13,1,"ini knp ko saya mau masuk m-bnking g bisa"" pdhl dh punya rekning mohon bantuan ny saat masuk selalu gagal menunjukn 0019",ini knp ko saya mau masuk m bnking g bisa pdhl dh punya rekning mohon bantuan ny saat masuk selalu gagal menunjukn,Negatif,knp ko masuk m bnking g pdhl dh rekning mohon bantu ny masuk gagal menunjukn
2026-03-12 04:07:08,5,"susah mengaktifkan kmbli jakone mobil dihp yg lain atau pindah perangkat, mohon bantuannya dong lewat hp🙏",susah mengaktifkan kmbli jakone mobil dihp yg lain atau pindah perangkat mohon bantuannya dong lewat hp,Positif,susah aktif kmbli mobil dihp yg pindah perangkat mohon bantu hp
2026-03-11 21:13:52,1,"ini gimana si bank dki, top up dana 500 pertama gagal terus top up ke 2 berhasil jumlah 500, tapi saldo kepotong hilang 500",ini gimana si bank dki top up dana pertama gagal terus top up ke berhasil jumlah tapi saldo kepotong hilang,Negatif,gimana si top up dana gagal top up hasil saldo potong hilang
2026-03-11 20:06:02,1,"mau masuk rekening KJP gak bisa terus beberapa kali coba, sampe cepek huuhhh",mau masuk rekening kjp gak bisa terus beberapa kali coba sampe cepek huuhhh,Negatif,masuk rekening kjp gak kali coba sampe cepek huuhhh
2026-03-11 17:50:52,1,"layanan offline lah, error lah, gk trjangkau lah, lahhhh sukak2 kao lah",layanan offline lah error lah gk trjangkau lah lahhhh sukak kao lah,Negatif,layan offline error gk trjangkau lahhhh sukak kao
2026-03-11 14:32:20,1,"aplikasi gak ada rasa tanggung jawab, saldo saya pindah ke akun dana malah belom masuk saldo ilang.",aplikasi gak ada rasa tanggung jawab saldo saya pindah ke akun dana malah belom masuk saldo ilang,Negatif,gak tanggung saldo pindah akun dana bom masuk saldo ilang
2026-03-10 12:14:22,1,min ini gimana saya top up 2 kali 1 jt 1jt yng masuk hanya 1 jt pdhl saldo udh kepotong haduuh saya harus urus KEMANA!!!,min ini gimana saya top up kali jt jt yng masuk hanya jt pdhl saldo udh kepotong haduuh saya harus urus kemana,Negatif,min gimana top up kali jt jt yng masuk jt pdhl saldo udh potong haduuh urus mana
2026-03-07 16:31:55,1,saya transfer dari Jakone mobile tetapi transaksi dalam proses terus sudah 24jam saldo saya belum balik apk gajelas,saya transfer dari jakone mobile tetapi transaksi dalam proses terus sudah jam saldo saya belum balik apk gajelas,Negatif,transfer transaksi proses jam saldo apk gajelas
2026-03-07 15:43:05,1,aplikasi TDK bisa di buka sejak kemarin,aplikasi tdk bisa di buka sejak kemarin,Negatif,tdk buka kemarin
2026-03-07 15:26:51,1,"Topup Saldo dana sudah Terpotong 2 X Saldo rekening nya, eh ga masuk juga ke dana nya. bingung mau lapor nya kemana. tolong bantu admin..",topup saldo dana sudah terpotong x saldo rekening nya eh ga masuk juga ke dana nya bingung mau lapor nya kemana tolong bantu admin,Negatif,topup saldo dana potong x saldo rekening eh ga masuk dana bingung lapor mana tolong bantu admin
2026-03-06 13:49:43,1,"bank sama apalikasi sama nya bertele"" ampun bgt",bank sama apalikasi sama nya bertele ampun bgt,Negatif,apalikasi tele ampun bgt
2026-03-06 11:39:59,1,"gile tiap buka loading nya ga ketulungan, kalo dibilang masalah jaringan kayanya ga mungkin soalnya udah nyoba pake wifi, internet HP telkomsel, AXIS, sampe yg lain nya tapi masih muter kaya apk kederrr",gile tiap buka loading nya ga ketulungan kalo dibilang masalah jaringan kayanya ga mungkin soalnya udah nyoba pake wifi internet hp telkomsel axis sampe yg lain nya tapi masih muter kaya apk kederrr,Negatif,gile buka loading ga ketulungan kalo bilang jaring kaya ga udah nyoba pake wifi internet hp telkomsel axis sampe yg muter kaya apk kederrr
2026-03-06 09:24:40,1,aduh ini apk g guna ... mau selfi buat data eror mulu..teatm IT nya sekolah gak sih,aduh ini apk g guna mau selfi buat data eror mulu teatm it nya sekolah gak sih,Negatif,aduh apk g selfi data eror mulu teatm it sekolah gak sih
2026-03-06 09:03:47,1,"permisi min, saya mau nanya, kan saya sudah masukan nomor telepon nah nomor telepon itu sudah benar tapi kok di sms saya ga masuk ya udah saya coba sampai 3 kali masih tetap ga bisa. apakah ada solusi?",permisi min saya mau nanya kan saya sudah masukan nomor telepon nah nomor telepon itu sudah benar tapi kok di sms saya ga masuk ya udah saya coba sampai kali masih tetap ga bisa apakah ada solusi,Negatif,permisi min nanya masuk nomor telepon nomor telepon sms ga masuk ya udah coba kali ga solusi
2026-03-06 04:38:17,2,apk ga beres banyak masalah nya,apk ga beres banyak masalah nya,Negatif,apk ga beres
